model,feature_set,repeat,fold,fold_seed,threshold,roc_auc,pr_auc,precision,recall,f1,brier_score,true_negative,false_positive,false_negative,true_positive
stacking_trees,engineered_full,2,1,47,0.35073325822675494,0.93008457132103,0.7264390256870271,0.6281690140845071,0.7287581699346405,0.6747352496217852,0.07193323926094897,1535,132,83,223
stacking_trees,engineered_full,2,2,48,0.222918957803776,0.9339171285922083,0.7640048373028092,0.6085858585858586,0.7901639344262295,0.6875891583452212,0.06827946893941614,1513,155,64,241
stacking_trees,engineered_full,2,3,49,0.2548736054477023,0.9249754294924715,0.7316116402017054,0.5600961538461539,0.7639344262295082,0.6463245492371706,0.07403446506159009,1485,183,72,233
stacking_trees,engineered_full,2,4,50,0.4692661484326994,0.9325726304202541,0.7605677654795053,0.7090909090909091,0.639344262295082,0.6724137931034483,0.06894560197640114,1588,80,110,195
stacking_trees,engineered_full,2,5,51,0.4127023278187845,0.9417978699342099,0.760943743373977,0.6666666666666666,0.7278688524590164,0.6959247648902821,0.0651579445358351,1556,111,83,222
catboost_focal,engineered_full,1,1,42,0.3004494102707586,0.9313490243127845,0.7446563690472298,0.5804020100502513,0.7549019607843137,0.65625,0.08296592246159204,1500,167,75,231
catboost_focal,engineered_full,1,2,43,0.3351438529616394,0.931735267523686,0.7448912417824853,0.6457142857142857,0.740983606557377,0.6900763358778625,0.08165500915151594,1544,124,79,226
catboost_focal,engineered_full,1,3,44,0.3525000576319625,0.9350355780949012,0.7509983739433911,0.6615384615384615,0.7049180327868853,0.6825396825396826,0.08331235161212959,1558,110,90,215
catboost_focal,engineered_full,1,4,45,0.31536045222902936,0.9360478830050714,0.759307526454646,0.6117021276595744,0.7540983606557377,0.6754772393538914,0.0821159286827625,1522,146,75,230
catboost_focal,engineered_full,1,5,46,0.32904265705165303,0.9342787180268863,0.7624721960507816,0.6312997347480106,0.780327868852459,0.6979472140762464,0.08175777316648028,1528,139,67,238
catboost_focal,engineered_full,2,1,47,0.33062963248575766,0.9323292204304237,0.7309588450309721,0.6345609065155807,0.7320261437908496,0.6798179059180577,0.0832434365640161,1538,129,82,224
catboost_focal,engineered_full,2,2,48,0.31279381739754863,0.9362031686126508,0.767483057052768,0.633245382585752,0.7868852459016393,0.7017543859649122,0.08035676572443469,1529,139,65,240
catboost_focal,engineered_full,2,3,49,0.336159532434848,0.9220682470417109,0.7291063435983468,0.6118980169971672,0.7081967213114754,0.6565349544072948,0.08420807909952298,1531,137,89,216
catboost_focal,engineered_full,2,4,50,0.3676344689943605,0.931308723512993,0.7709449200741234,0.6904761904761905,0.6655737704918033,0.67779632721202,0.08182827458659095,1577,91,102,203
catboost_focal,engineered_full,2,5,51,0.3126763063780056,0.9435267044951666,0.7711228344842439,0.6304909560723514,0.8,0.7052023121387283,0.08192715304680365,1524,143,61,244
